Site	Tag#	Species	x	y	Cored?	Year_1st_rec	Mort_Yr	Trunk	F_15_DBH	Sp_16_DBH	Su_16_DBH	Su_17_DBH	Su_18_DBH	Su_19_DBH																					
SJ	227.00	ABCO	40.50	24.00	N	2015.00	NA	1.00	10.30	NA	10.60	11.20	11.20	11.70																					
SJ	228.00	ABCO	39.50	23.50	N	2015.00	NA	1.00	5.60	NA	5.70	6.10	5.80	6.10																					
SJ	229.00	ABCO	40.00	24.00	N	2015.00	2017.00	1.00	4.70	NA	5.00	4.90	NA	NA																					
SJ	230.00	ABCO	40.00	28.00	N	2015.00	2018.00	1.00	6.90	NA	7.50	7.10	7.00	NA																					
SJ	231.00	ABCO	40.50	31.00	N	2015.00	2018.00	1.00	4.70	NA	4.50	4.90	4.20	NA																					
SJ	232.00	ABCO	41.00	31.50	N	2015.00	NA	1.00	26.00	NA	27.10	27.40	28.30	28.80																					
SJ	233.00	ABCO	40.50	29.00	N	2015.00	NA	1.00	1.90	NA	1.50	2.00	2.20	2.40																					
SJ	234.00	ABCO	45.00	25.00	N	2015.00	NA	1.00	29.80	NA	30.30	30.40	30.70	31.30																					
SJ	235.00	ABCO	61.00	19.00	N	2015.00	NA	1.00	47.30	NA	47.90	49.00	49.10	49.50																					
SJ	236.00	ABCO	66.00	20.50	N	2015.00	NA	1.00	50.10	NA	51.00	51.50	52.10	52.20																					
SJ	237.00	ABCO	50.00	25.00	N	2015.00	NA	1.00	66.10	NA	67.30	68.00	68.20	68.00																					
SJ	238.00	ABMA	52.00	33.00	N	2015.00	2017.00	1.00	76.00	NA	77.10	78.30	NA	NA																					
SJ	239.00	ABCO	54.00	34.00	N	2015.00	2018.00	1.00	61.10	NA	61.30	60.70	61.20	NA																					
SJ	240.00	ABMA	50.00	35.00	N	2015.00	2018.00	1.00	57.40	NA	58.40	59.00	56.40	NA																					
SJ	241.00	ABCO	49.00	35.50	N	2015.00	NA	1.00	37.80	NA	38.10	39.10	39.80	41.80																					
SJ	242.00	PIJE	68.00	5.00	N	2015.00	NA	1.00	5.40	NA	5.70	6.00	6.00	6.20																					
SJ	243.00	ABCO	73.00	3.00	N	2015.00	NA	1.00	7.20	NA	7.50	7.50	7.90	8.70																					
SJ	244.00	ABCO	75.00	5.00	N	2015.00	NA	1.00	90.40	NA	90.50	91.60	90.90	91.50																					
SJ	245.00	ABCO	79.50	4.00	N	2015.00	NA	1.00	50.20	NA	50.50	50.70	50.80	51.50																					
SJ	246.00	ABCO	76.50	6.50	N	2015.00	NA	1.00	21.80	NA	21.60	22.50	22.20	22.30																					
SJ	247.00	ABMA	74.50	7.00	N	2015.00	NA	1.00	29.70	NA	30.30	30.50	30.30	31.50																					
SJ	248.00	ABMA	74.00	7.00	N	2015.00	NA	1.00	5.00	NA	5.40	5.70	5.70	6.00																					
SJ	249.00	ABCO	75.00	9.00	N	2015.00	NA	1.00	59.50	NA	59.90	61.10	60.30	61.00																					
SJ	250.00	ABMA	70.00	9.00	N	2015.00	2018.00	1.00	4.50	NA	5.40	5.60	5.00	NA																					
SJ	251.00	ABMA	69.50	9.00	N	2015.00	2017.00	1.00	6.70	NA	6.40	7.00	NA	NA																					
SJ	252.00	ABMA	70.00	8.50	N	2015.00	2018.00	1.00	1.60	NA	1.80	2.00	1.70	NA																					
SJ	252.00	ABMA	70.00	8.50	N	2015.00	2018.00	2.00	NA	NA	0.90	1.50	1.10	NA																					
SJ	253.00	ABCO	66.00	8.00	N	2015.00	NA	1.00	30.50	NA	30.40	30.90	31.20	31.50																					
SJ	254.00	ABCO	63.00	12.00	N	2015.00	NA	1.00	24.80	NA	24.40	25.00	26.00	27.30																					
SJ	255.00	ABMA	60.00	15.00	N	2015.00	NA	1.00	14.30	NA	15.40	15.80	15.90	17.20																					
SJ	256.00	ABCO	69.00	19.00	N	2015.00	NA	1.00	86.30	NA	98.00	87.00	87.00	87.20																					
SJ	257.00	ABMA	76.00	18.50	N	2015.00	NA	1.00	26.40	NA	26.70	27.00	27.60	28.50																					
SJ	258.00	ABCO	78.00	16.00	N	2015.00	NA	1.00	14.40	NA	14.40	14.90	16.20	16.20																					
SJ	259.00	ABCO	78.00	18.00	N	2015.00	NA	1.00	7.00	NA	7.20	7.90	7.60	8.40																					
SJ	260.00	ABMA	78.00	21.00	N	2015.00	2019.00	1.00	15.70	NA	15.90	15.80	16.00	16.00																					
SJ	261.00	ABMA	78.00	21.50	N	2015.00	NA	1.00	38.30	NA	38.80	38.90	39.20	40.00																					
SJ	262.00	ABCO	77.00	22.00	N	2015.00	NA	1.00	7.20	NA	8.40	8.20	8.30	8.40																					
SJ	262.00	ABCO	75.00	22.00	N	2015.00	NA	2.00	7.20	NA	7.10	7.90	7.60	8.30																					
SJ	263.00	ABCO	72.00	23.00	N	2015.00	NA	1.00	87.50	NA	87.40	90.10	86.90	87.50																					
SJ	264.00	ABCO	73.00	23.00	N	2015.00	2019.00	1.00	2.00	NA	1.40	2.20	2.10	1.10																					
SJ	265.00	ABMA	77.00	22.50	N	2015.00	NA	1.00	38.70	NA	39.20	39.60	39.10	39.60																					
SJ	266.00	ABCO	78.00	24.00	N	2015.00	NA	1.00	74.20	NA	75.00	75.00	75.70	76.50																					
SJ	267.00	ABCO	76.00	26.00	N	2015.00	NA	1.00	56.90	NA	57.10	58.20	58.00	58.20																					
SJ	268.00	ABCO	77.00	27.00	N	2015.00	2018.00	1.00	5.70	NA	5.50	5.90	6.30	NA																					
SJ	269.00	ABCO	76.00	28.00	N	2015.00	NA	1.00	102.40	NA	100.70	102.70	101.70	102.50																					
SJ	270.00	ABCO	75.00	29.50	N	2015.00	NA	1.00	11.90	NA	12.70	12.70	12.40	12.40																					
SJ	271.00	ABMA	73.00	31.00	N	2015.00	NA	1.00	51.20	NA	51.90	51.80	NA	52.50																					
SJ	272.00	ABCO	68.50	30.50	N	2015.00	NA	1.00	65.20	NA	66.00	65.90	66.20	66.50																					
SJ	273.00	ABCO	60.00	28.00	N	2015.00	NA	1.00	13.50	NA	13.70	14.00	14.20	14.80																					
SJ	274.00	ABCO	64.00	32.00	N	2015.00	NA	1.00	23.90	NA	24.10	24.70	24.80	25.60																					
SJ	275.00	ABCO	75.50	32.00	N	2015.00	NA	1.00	34.10	NA	34.90	35.70	35.20	35.50																					
SJ	276.00	ABCO	78.00	30.50	N	2015.00	NA	1.00	26.00	NA	25.20	25.00	27.20	25.70																					
SJ	277.00	ABMA	NA	NA	N	2018.00	2018.00	1.00	NA	NA	NA	NA	7.50	NA																					
SJ	278.00	ABCO	57.00	48.00	N	2015.00	NA	1.00	36.30	NA	37.50	37.40	37.70	38.90																					
SJ	279.00	ABCO	54.00	50.00	N	2015.00	NA	1.00	76.90	NA	79.20	78.40	78.80	79.70																					
SJ	280.00	ABCO	53.00	48.00	N	2015.00	NA	1.00	45.20	NA	46.60	46.50	47.30	47.60																					
SJ	281.00	ABCO	54.00	47.00	N	2015.00	NA	1.00	33.10	NA	33.70	33.90	34.40	34.60																					
SJ	282.00	ABCO	55.00	49.00	N	2015.00	NA	1.00	36.20	NA	37.90	32.70	37.30	38.60																					
SJ	283.00	ABCO	57.00	51.00	N	2015.00	NA	1.00	26.30	NA	27.40	26.50	27.70	27.20																					
SJ	284.00	ABCO	61.00	54.00	N	2015.00	NA	1.00	15.50	NA	16.80	16.60	18.40	19.20																					
SJ	285.00	ABMA	60.00	58.00	N	2015.00	NA	1.00	79.20	NA	80.10	81.20	79.50	78.30																					
SJ	286.00	ABCO	61.00	61.50	N	2015.00	NA	1.00	12.70	NA	13.20	13.00	13.80	14.20																					
SJ	287.00	ABCO	49.00	44.00	N	2015.00	NA	1.00	4.30	NA	4.10	4.60	4.40	5.20																					
SJ	288.00	ABCO	47.00	39.00	N	2015.00	NA	1.00	12.80	NA	13.40	13.30	13.80	14.80																					
SJ	289.00	ABCO	47.00	45.00	N	2015.00	NA	1.00	9.80	NA	10.30	10.40	12.20	13.00																					
SJ	290.00	ABCO	47.00	46.00	N	2015.00	NA	1.00	14.00	NA	14.80	14.20	15.60	15.50																					
SJ	291.00	ABCO	42.00	37.00	N	2015.00	NA	1.00	25.90	NA	25.90	26.50	26.20	26.40																					
SJ	292.00	ABCO	42.00	55.00	N	2015.00	NA	1.00	22.10	NA	23.30	22.50	23.50	24.00																					
SJ	293.00	ABMA	30.00	59.00	N	2015.00	2019.00	1.00	14.10	NA	14.40	15.50	15.00	14.50																					
SJ	294.00	ABCO	28.00	60.00	N	2015.00	2016.00	1.00	5.60	NA	5.60	NA	NA	NA																					
SJ	295.00	ABCO	16.00	61.00	N	2015.00	NA	1.00	18.10	NA	19.20	19.50	NA	19.80																					
SJ	296.00	ABCO	12.00	68.00	N	2015.00	NA	1.00	14.80	NA	15.20	15.10	NA	15.70																					
SJ	297.00	PIJE	37.00	64.00	N	2015.00	NA	1.00	10.00	NA	10.10	10.40	10.70	10.90																					
SJ	298.00	ABCO	40.50	69.00	N	2015.00	NA	1.00	47.90	NA	49.80	48.60	49.50	50.40																					
SJ	299.00	ABCO	41.00	68.50	N	2015.00	NA	1.00	31.40	NA	31.60	31.70	31.70	32.00																					
SJ	301.00	ABCO	39.00	70.50	N	2015.00	NA	1.00	31.80	NA	32.90	31.00	32.00	33.20																					
SJ	501.00	ABCO	10.00	34.00	N	2018.00	NA	1.00	NA	NA	NA	NA	1.40	2.10																					
SJ	302.00	ABCO	38.00	70.50	N	2015.00	NA	1.00	83.80	NA	83.50	84.00	84.10	84.70																					
SJ	303.00	ABCO	38.00	72.00	N	2015.00	NA	1.00	5.60	NA	5.80	6.20	5.90	6.20																					
SJ	304.00	ABCO	38.50	72.00	N	2015.00	NA	1.00	3.10	NA	3.50	3.30	3.90	3.80																					
SJ	305.00	ABMA	37.00	68.50	N	2015.00	NA	1.00	80.20	NA	81.90	81.50	81.70	83.80																					
SJ	306.00	ABMA	34.50	67.00	N	2015.00	NA	1.00	35.70	NA	3.60	35.70	36.00	37.10																					
SJ	307.00	ABCO	30.50	70.50	N	2015.00	NA	1.00	25.20	NA	25.40	25.00	24.80	25.30																					
SJ	308.00	ABCO	30.00	44.00	N	2015.00	2017.00	1.00	24.60	NA	26.10	25.50	NA	NA																					
SJ	309.00	ABCO	29.50	75.00	N	2015.00	NA	1.00	17.70	NA	18.60	18.50	19.00	18.50																					
SJ	310.00	ABCO	29.00	75.00	N	2018.00	2018.00	1.00	47.20	NA	48.60	49.40	48.90	NA																					
SJ	311.00	ABMA	27.50	76.00	N	2015.00	NA	1.00	79.50	NA	80.10	81.50	81.50	81.10																					
SJ	312.00	ABCO	23.00	74.00	N	2015.00	NA	1.00	61.30	NA	61.90	62.00	62.60	62.80																					
SJ	313.00	ABCO	24.00	76.00	N	2015.00	NA	1.00	18.30	NA	18.70	18.30	19.00	18.80																					
SJ	314.00	ABCO	23.00	77.00	N	2015.00	NA	1.00	23.50	NA	24.00	24.00	24.10	24.80																					
SJ	315.00	ABCO	22.00	79.00	N	2015.00	NA	1.00	81.20	NA	83.00	84.50	83.40	84.20																					
SJ	316.00	ABCO	23.00	73.00	N	2015.00	NA	1.00	28.30	NA	28.40	28.00	28.90	29.20																					
SJ	317.00	ABCO	68.50	48.00	N	2015.00	NA	1.00	79.30	NA	79.20	79.50	80.20	81.00																					
SJ	318.00	ABCO	69.50	48.00	N	2015.00	NA	1.00	45.10	NA	43.80	44.50	44.70	45.00																					
SJ	319.00	ABCO	77.00	45.00	N	2015.00	NA	1.00	64.50	NA	64.40	65.10	66.40	66.90																					
SJ	320.00	ABCO	78.00	52.50	N	2015.00	2019.00	1.00	57.00	NA	56.80	56.90	57.30	57.30																					
SJ	321.00	ABCO	77.00	60.00	N	2015.00	NA	1.00	90.50	NA	91.90	91.40	91.20	89.80																					
SJ	322.00	ABCO	62.00	58.00	N	2015.00	NA	1.00	7.40	NA	7.40	7.50	8.20	9.00																					
SJ	323.00	ABMA	65.00	62.50	N	2015.00	2018.00	1.00	1.80	NA	1.20	1.90	1.50	NA																					
SJ	324.00	ABCO	64.00	64.00	N	2015.00	NA	1.00	2.50	NA	2.70	2.90	3.30	3.80																					
SJ	325.00	ABMA	68.00	65.00	N	2015.00	NA	1.00	4.60	NA	5.10	5.10	5.50	5.90																					
SJ	326.00	ABCO	67.00	64.00	N	2015.00	NA	1.00	1.20	NA	1.30	1.40	1.80	2.00																					
SJ	327.00	ABMA	69.50	66.00	N	2015.00	2018.00	1.00	2.90	NA	2.40	2.00	2.30	NA																					
SJ	328.00	ABMA	68.00	66.00	N	2015.00	NA	1.00	2.20	NA	2.70	2.30	2.50	3.10																					
SJ	329.00	ABMA	68.50	67.00	N	2015.00	NA	1.00	3.10	NA	2.70	3.40	3.80	4.40																					
SJ	330.00	ABMA	70.00	67.00	N	2015.00	NA	1.00	4.50	NA	3.90	4.50	5.10	7.40																					
SJ	331.00	ABCO	70.50	66.00	N	2015.00	NA	1.00	3.70	NA	4.00	3.90	4.70	5.00																					
SJ	332.00	ABMA	72.00	74.00	N	2015.00	NA	1.00	2.40	NA	1.10	2.30	2.40	2.40																					
SJ	334.00	ABCO	68.50	70.50	N	2015.00	2018.00	1.00	5.20	NA	5.00	5.50	5.30	NA																					
SJ	335.00	ABCO	68.50	69.00	N	2015.00	NA	1.00	3.60	NA	3.50	3.90	4.00	3.80																					
SJ	335.00	ABCO	68.50	69.00	N	2015.00	NA	2.00	4.10	NA	4.30	4.60	4.90	5.50																					
SJ	336.00	ABCO	64.00	69.00	N	2015.00	NA	1.00	37.40	NA	37.40	37.30	37.80	39.00																					
SJ	337.00	ABCO	64.00	70.50	N	2015.00	NA	1.00	4.50	NA	3.60	3.80	3.80	4.00																					
SJ	338.00	ABMA	64.50	71.00	N	2015.00	2017.00	1.00	14.90	NA	14.90	14.70	NA	NA																					
SJ	339.00	ABCO	62.00	72.00	N	2015.00	NA	1.00	7.20	NA	7.30	7.30	7.50	7.50																					
SJ	340.00	ABCO	66.00	72.00	N	2015.00	NA	1.00	13.50	NA	12.60	13.30	13.30	13.80																					
SJ	341.00	ABMA	68.50	76.00	N	2015.00	2018.00	1.00	52.10	NA	52.70	52.30	52.60	NA																					
SJ	342.00	ABCO	70.00	76.00	N	2015.00	NA	1.00	4.40	NA	9.00	4.80	4.90	6.50																					
SJ	343.00	ABMA	72.00	75.00	N	2015.00	2018.00	1.00	28.20	NA	27.30	27.40	28.00	NA																					
SJ	344.00	ABMA	78.00	76.00	N	2015.00	NA	1.00	21.60	NA	21.30	21.80	21.80	22.90																					
SJ	345.00	ABMA	77.00	79.00	N	2015.00	NA	1.00	58.00	NA	58.00	59.20	59.40	59.00																					
SJ	346.00	ABCO	67.00	80.50	N	2015.00	NA	1.00	171.50	NA	167.00	169.00	171.50	171.80																					
SJ	347.00	ABCO	74.00	84.50	N	2015.00	NA	1.00	47.50	NA	47.60	48.00	48.50	48.80																					
SJ	348.00	ABMA	75.00	86.00	N	2015.00	NA	1.00	41.90	NA	41.40	41.60	42.00	42.50																					
SJ	348.00	ABMA	75.00	86.00	N	2015.00	NA	1.00	NA	NA	14.50	13.50	14.70	14.30																					
SJ	349.00	ABMA	63.50	88.00	N	2015.00	NA	1.00	34.00	NA	35.20	34.50	34.30	34.50																					
SJ	350.00	ABMA	63.00	87.00	N	2015.00	NA	1.00	65.00	NA	64.30	65.50	65.90	65.40																					
SJ	351.00	ABMA	68.50	99.00	N	2015.00	NA	1.00	20.40	NA	20.10	21.20	21.20	21.60																					
SJ	352.00	ABCO	63.00	98.00	N	2015.00	2018.00	1.00	NA	NA	5.80	6.10	5.90	NA																					
SJ	353.00	ABMA	55.50	97.00	N	2015.00	NA	1.00	121.30	NA	120.90	121.60	120.10	120.00																					
SJ	354.00	ABMA	55.00	90.50	N	2015.00	NA	1.00	103.00	NA	101.10	101.50	102.60	102.20																					
SJ	355.00	ABMA	54.00	89.00	N	2015.00	NA	1.00	26.30	NA	26.70	26.60	27.00	27.00																					
SJ	356.00	ABMA	58.50	88.00	N	2015.00	NA	1.00	38.00	NA	38.80	38.20	40.50	39.00																					
SJ	357.00	ABMA	53.50	88.50	N	2015.00	NA	1.00	29.10	NA	30.20	29.50	29.50	31.30																					
SJ	358.00	ABMA	56.00	84.00	N	2015.00	NA	1.00	9.20	NA	9.90	8.80	9.50	9.30																					
SJ	359.00	ABCO	57.00	84.00	N	2015.00	2018.00	1.00	11.50	NA	11.80	11.70	11.60	NA																					
SJ	360.00	ABMA	59.00	84.00	N	2015.00	NA	1.00	18.30	NA	18.00	18.70	19.10	19.50																					
SJ	361.00	ABMA	54.00	81.00	N	2015.00	NA	1.00	46.20	NA	46.90	47.30	47.90	48.50																					
SJ	362.00	ABCO	50.00	84.00	N	2015.00	NA	1.00	2.30	NA	2.40	2.60	3.00	2.10																					
SJ	363.00	ABMA	48.00	82.00	N	2015.00	NA	1.00	84.00	NA	84.00	86.20	85.40	84.50																					
SJ	364.00	ABCO	43.50	83.00	N	2015.00	NA	1.00	14.90	NA	14.90	15.00	15.20	16.10																					
SJ	365.00	ABMA	48.00	86.00	N	2015.00	2017.00	1.00	32.20	NA	32.60	31.90	NA	NA																					
SJ	366.00	ABCO	49.00	91.50	N	2015.00	NA	1.00	70.80	NA	68.00	69.50	69.90	71.00																					
SJ	367.00	ABCO	44.00	91.00	N	2015.00	2017.00	1.00	39.30	NA	39.80	39.90	NA	NA																					
SJ	368.00	ABMA	46.00	98.00	N	2015.00	2018.00	1.00	18.70	NA	18.80	19.50	19.10	NA																					
SJ	369.00	ABMA	45.50	99.00	N	2015.00	2018.00	1.00	21.80	NA	20.30	20.70	25.40	NA																					
SJ	370.00	ABCO	49.50	75.00	N	2015.00	NA	1.00	107.40	NA	107.30	107.30	106.60	107.40																					
SJ	371.00	ABMA	47.00	79.50	N	2015.00	NA	1.00	2.40	NA	1.70	2.30	2.90	2.80																					
SJ	372.00	ABCO	45.00	69.00	N	2015.00	NA	1.00	22.50	NA	22.90	23.10	23.50	23.60																					
SJ	373.00	ABMA	43.00	69.00	N	2015.00	2019.00	1.00	13.70	NA	13.50	13.40	13.50	13.90																					
SJ	374.00	ABMA	45.00	67.50	N	2015.00	2018.00	1.00	13.80	NA	14.30	14.00	14.00	NA																					
SJ	375.00	ABMA	42.50	65.00	N	2015.00	NA	1.00	22.60	NA	28.00	23.10	23.50	24.80																					
SJ	376.00	ABMA	50.50	69.50	N	2015.00	2019.00	1.00	4.20	NA	3.70	4.00	4.20	4.20																					
SJ	377.00	ABMA	59.00	71.00	N	2015.00	NA	1.00	73.90	NA	75.60	74.80	75.10	74.90																					
SJ	378.00	ABCO	61.50	73.00	N	2015.00	NA	1.00	4.40	NA	3.40	3.80	4.00	3.90																					
SJ	379.00	ABMA	62.00	73.50	N	2015.00	NA	1.00	20.10	NA	20.40	20.30	20.60	21.40																					
SJ	380.00	ABCO	62.00	73.00	N	2015.00	NA	1.00	5.20	NA	5.20	5.40	5.80	5.60																					
SJ	381.00	ABCO	61.00	72.00	N	2015.00	NA	1.00	2.90	NA	2.60	2.80	2.90	3.00																					
SJ	382.00	ABMA	61.50	72.00	N	2015.00	NA	1.00	18.10	NA	18.20	18.30	18.50	19.00																					
SJ	383.00	ABMA	62.00	71.50	N	2015.00	NA	1.00	21.20	NA	21.10	21.30	21.70	22.50																					
SJ	384.00	ABMA	62.50	69.00	N	2015.00	NA	1.00	17.20	NA	16.70	16.50	17.00	17.60																					
SJ	385.00	ABCO	62.50	67.50	N	2015.00	NA	1.00	15.10	NA	17.50	14.80	15.70	16.80																					
SJ	386.00	ABMA	37.00	79.00	N	2015.00	NA	1.00	47.00	NA	47.10	47.30	48.10	47.80																					
SJ	387.00	ABCO	25.50	72.00	N	2015.00	NA	1.00	29.30	NA	28.60	29.20	28.90	28.90																					
SJ	388.00	ABCO	27.00	70.50	N	2015.00	NA	1.00	67.00	NA	66.80	67.40	68.20	67.80																					
SJ	389.00	ABCO	26.50	68.00	N	2015.00	2019.00	1.00	19.80	NA	20.50	20.80	19.80	20.80																					
SJ	390.00	ABMA	24.50	66.50	N	2015.00	NA	1.00	96.80	NA	96.80	96.00	96.30	96.30																					
SJ	391.00	ABCO	25.50	66.00	N	2015.00	NA	1.00	30.70	NA	30.80	31.50	30.70	31.50																					
SJ	392.00	ABMA	24.00	63.00	N	2015.00	NA	1.00	90.20	NA	89.20	88.50	89.00	89.60																					
SJ	393.00	ABMA	19.00	70.50	N	2015.00	NA	1.00	63.40	NA	63.60	64.40	64.10	64.60																					
SJ	394.00	ABCO	17.00	77.00	N	2015.00	NA	1.00	61.70	NA	61.50	62.20	61.60	61.80																					
SJ	395.00	ABCO	15.50	70.00	N	2015.00	NA	1.00	25.10	NA	25.10	24.50	25.00	25.70																					
SJ	396.00	ABMA	16.00	69.00	N	2015.00	NA	1.00	49.50	NA	50.20	50.00	51.30	51.30																					
SJ	397.00	ABMA	14.00	63.00	N	2015.00	NA	1.00	2.40	NA	2.20	3.00	2.20	2.60																					
SJ	398.00	ABMA	13.00	71.00	N	2015.00	NA	1.00	12.00	NA	12.70	12.00	12.10	12.50																					
SJ	399.00	ABCO	12.00	72.00	N	2015.00	NA	1.00	19.10	NA	19.90	19.70	19.70	20.20																					
SJ	400.00	ABCO	8.50	72.00	N	2015.00	NA	1.00	18.20	NA	19.10	17.80	18.90	19.20																					
SJ	401.00	ABCO	43.00	22.00	N	2016.00	NA	1.00	NA	NA	1.20	1.50	1.60	2.10																					
SJ	402.00	ABMA	42.50	22.00	N	2016.00	NA	1.00	NA	NA	1.60	1.30	1.70	2.30																					
SJ	404.00	ABCO	41.00	22.00	N	2016.00	2017.00	1.00	NA	NA	1.50	1.50	NA	NA																					
SJ	405.00	ABCO	30.50	23.00	N	2016.00	NA	1.00	NA	NA	8.50	9.40	9.00	9.20																					
SJ	406.00	ABCO	30.50	22.50	N	2016.00	NA	1.00	NA	NA	10.00	10.20	10.50	10.30																					
SJ	407.00	ABCO	19.50	3.00	N	2016.00	2019.00	1.00	NA	NA	20.10	22.20	22.30	20.20																					
SJ	408.00	ABCO	21.00	1.00	N	2016.00	NA	1.00	NA	NA	23.90	23.20	23.80	24.70																					
SJ	409.00	ABCO	26.00	9.00	N	2016.00	NA	1.00	NA	NA	1.20	1.50	1.10	1.30																					
SJ	410.00	ABCO	25.00	9.00	N	2016.00	NA	1.00	NA	NA	1.10	2.00	1.00	1.00																					
SJ	411.00	ABMA	29.50	1.00	N	2016.00	NA	1.00	NA	NA	78.30	78.50	78.40	78.50																					
SJ	412.00	ABCO	76.00	39.00	N	2015.00	NA	1.00	NA	71.10	70.60	71.50	71.70	73.00																					
SJ	413.00	ABMA	77.00	42.00	N	2015.00	NA	1.00	NA	93.20	93.00	93.50	92.50	92.10																					
SJ	415.00	ABMA	18.50	95.00	N	2015.00	NA	1.00	NA	66.40	66.50	66.10	68.70	66.10																					
SJ	416.00	ABCO	39.00	99.00	N	2015.00	2018.00	1.00	NA	41.50	42.00	43.70	42.30	NA																					
SJ	417.00	ABCO	40.50	94.00	N	2015.00	2017.00	1.00	NA	8.00	7.20	7.40	NA	NA																					
SJ	418.00	ABCO	39.50	91.00	N	2015.00	2018.00	1.00	NA	28.10	28.10	29.30	28.60	NA																					
SJ	419.00	ABCO	39.00	92.00	N	2015.00	NA	1.00	NA	21.30	21.50	21.00	22.20	21.70																					
SJ	420.00	ABMA	43.00	87.00	N	2015.00	2018.00	1.00	NA	7.90	8.20	8.30	7.80	NA																					
SJ	421.00	ABCO	40.00	82.00	N	2015.00	2018.00	1.00	NA	57.70	58.60	59.80	59.40	NA																					
SJ	422.00	ABCO	20.00	86.00	N	2015.00	NA	1.00	NA	26.50	27.00	28.00	27.40	28.20																					
SJ	423.00	ABCO	26.00	89.00	N	2015.00	NA	1.00	NA	28.10	28.90	29.20	29.00	30.30																					
SJ	424.00	ABMA	20.50	87.00	N	2015.00	NA	1.00	NA	12.90	13.50	12.40	12.70	14.50																					
SJ	425.00	ABMA	20.50	86.50	N	2015.00	NA	1.00	NA	48.50	48.10	49.50	49.30	49.20																					
SJ	426.00	ABMA	18.00	87.00	N	2015.00	2019.00	1.00	NA	2.90	2.80	3.20	4.50	3.00																					
SJ	427.00	ABMA	21.00	94.00	N	2015.00	NA	1.00	NA	71.60	67.60	69.00	67.00	67.30																					
SJ	428.00	ABMA	8.00	85.00	N	2015.00	NA	1.00	NA	12.60	12.80	12.80	13.00	13.50																					
SJ	430.00	ABCO	1.00	79.50	N	2015.00	2019.00	1.00	NA	6.00	6.00	5.80	6.30	5.90																					
SJ	431.00	ABMA	2.00	77.50	N	2015.00	NA	1.00	NA	13.50	13.10	13.50	13.70	14.80																					
SJ	432.00	ABCO	1.00	75.00	N	2015.00	NA	1.00	NA	7.50	7.40	7.30	7.50	8.00																					
SJ	433.00	ABCO	1.50	75.50	N	2015.00	NA	1.00	NA	11.00	11.30	11.00	11.10	11.00																					
SJ	434.00	ABCO	2.00	76.00	N	2015.00	NA	1.00	NA	23.00	22.50	22.70	22.50	23.50																					
SJ	435.00	ABMA	4.00	75.00	N	2015.00	NA	1.00	NA	36.00	36.00	36.00	37.00	37.30																					
SJ	436.00	ABCO	3.00	72.00	N	2015.00	NA	1.00	NA	7.50	7.00	6.60	7.30	7.60																					
SJ	438.00	ABCO	NA	NA	N	2018.00	NA	1.00	NA	NA	NA	NA	0.80	NA																					
SJ	440.00	ABCO	64.50	99.00	N	2016.00	NA	1.00	NA	NA	11.00	11.00	11.50	11.90																					
SJ	442.00	ABMA	78.00	99.00	N	2016.00	2018.00	1.00	NA	NA	29.50	28.30	28.80	NA																					
SJ	443.00	ABMA	75.00	84.00	N	2016.00	NA	1.00	NA	NA	28.40	29.20	28.50	28.20																					
SJ	445.00	ABCO	39.50	92.50	N	2016.00	NA	1.00	NA	NA	26.70	28.50	27.40	27.90																					
SJ	446.00	ABMA	80.00	75.00	N	2016.00	NA	1.00	NA	NA	22.40	22.90	23.10	23.30																					
SJ	447.00	ABCO	3.50	91.00	N	2015.00	NA	1.00	NA	22.50	22.40	22.20	23.20	24.00																					
SJ	448.00	ABCO	3.50	92.00	N	2015.00	NA	1.00	NA	19.00	19.10	18.80	19.10	19.50																					
SJ	449.00	ABCO	3.50	94.00	N	2015.00	NA	1.00	NA	32.00	31.80	32.60	33.30	33.90																					
SJ	450.00	ABCO	3.00	95.00	N	2015.00	NA	1.00	NA	23.00	22.90	23.00	22.80	23.80																					
SJ	451.00	ABCO	5.50	99.00	N	2015.00	NA	1.00	NA	7.80	7.70	7.40	8.30	9.00																					
SJ	452.00	ABCO	9.00	97.00	N	2015.00	NA	1.00	NA	4.70	4.80	4.50	5.10	5.00																					
SJ	453.00	ABCO	8.50	97.00	N	2015.00	NA	1.00	NA	12.60	11.10	11.00	11.60	11.60																					
SJ	454.00	ABCO	8.00	94.00	N	2015.00	NA	1.00	NA	5.80	6.00	5.50	6.90	7.40																					
SJ	455.00	ABCO	9.50	93.50	N	2015.00	NA	1.00	NA	9.30	9.20	8.90	9.00	9.30																					
SJ	456.00	ABCO	9.50	94.00	N	2015.00	NA	1.00	NA	22.50	22.50	23.00	23.50	24.10																					
SJ	458.00	ABCO	NA	NA	N	2018.00	NA	1.00	NA	NA	NA	NA	1.20	1.70																					
SJ	459.00	PIJE	11.00	90.00	N	2015.00	2018.00	1.00	NA	14.50	14.70	14.50	14.30	NA																					
SJ	460.00	ABMA	8.00	89.00	N	2015.00	2018.00	1.00	NA	25.00	24.70	25.00	24.30	NA																					
SJ	461.00	ABCO	5.50	91.00	N	2015.00	NA	1.00	NA	10.70	10.00	10.00	11.20	10.80																					
SJ	462.00	ABCO	5.00	88.00	N	2015.00	2018.00	1.00	NA	5.10	5.50	3.50	4.50	NA																					
